,tname,specie,lenght,er,param,cov,model,mapped,unmapped,wrongalign,r0,r5,r10,r20,TP,FN,FP,precison,recall,f1score,bc_TP,bc_FN,bc_FP,bc_precison,bc_recall,bc_f1score,medaka_vcdist_Tp,medaka_vcdist_FN,medaka_vcdist_FP,medaka_vcdist_precison,medaka_vcdist_recall,medaka_vcdist_f1score,bc_vcdist_TP,bc_vcdist_FN,bc_vcdist_FP,bc_vcdist_precison,bc_vcdist_recall,bc_vcdist_f1score
0,minimap2,covid,9000,0.95,#.vcf,20,R103,132,0,0,2,10,38,76,365,526,89,0.8039647577092511,0.409652076318743,0.5427509293680297,508,383,73,0.8743545611015491,0.5701459034792368,0.6902173913043477,435,1336,24,0.9477124183006536,0.2456239412761152,0.3901345291479821,142,1630,20,0.8765432098765432,0.08013544018058691,0.1468459152016546
1,minimap2,covid,9000,0.95,-k#12#-w#4.vcf,20,R103,132,0,0,2,10,38,76,365,526,89,0.8039647577092511,0.409652076318743,0.5427509293680297,508,383,73,0.8743545611015491,0.5701459034792368,0.6902173913043477,435,1336,24,0.9477124183006536,0.2456239412761152,0.3901345291479821,142,1630,20,0.8765432098765432,0.08013544018058691,0.1468459152016546
2,minimap2,covid,9000,0.95,-k#7#-w#5.vcf,20,R103,132,0,0,2,10,38,77,365,526,89,0.8039647577092511,0.409652076318743,0.5427509293680297,508,383,73,0.8743545611015491,0.5701459034792368,0.6902173913043477,435,1336,24,0.9477124183006536,0.2456239412761152,0.3901345291479821,142,1630,20,0.8765432098765432,0.08013544018058691,0.1468459152016546
3,minimap2old,covid,9000,0.95,#.vcf,20,R103,132,0,0,2,10,38,76,365,526,89,0.8039647577092511,0.409652076318743,0.5427509293680297,508,383,73,0.8743545611015491,0.5701459034792368,0.6902173913043477,435,1336,24,0.9477124183006536,0.2456239412761152,0.3901345291479821,142,1630,20,0.8765432098765432,0.08013544018058691,0.1468459152016546
4,minimap2old,covid,9000,0.95,-k#12#-w#4.vcf,20,R103,132,0,0,2,10,38,76,365,526,89,0.8039647577092511,0.409652076318743,0.5427509293680297,508,383,73,0.8743545611015491,0.5701459034792368,0.6902173913043477,435,1336,24,0.9477124183006536,0.2456239412761152,0.3901345291479821,142,1630,20,0.8765432098765432,0.08013544018058691,0.1468459152016546
5,minimap2old,covid,9000,0.95,-k#7#-w#5.vcf,20,R103,132,0,0,2,10,38,77,365,526,89,0.8039647577092511,0.409652076318743,0.5427509293680297,507,384,73,0.8741379310344828,0.569023569023569,0.6893269884432359,435,1336,24,0.9477124183006536,0.2456239412761152,0.3901345291479821,142,1630,20,0.8765432098765432,0.08013544018058691,0.1468459152016546
6,graphmap,covid,9000,0.95,#.vcf,20,R103,132,0,0,2,11,38,81,317,574,31,0.9109195402298851,0.3557800224466891,0.5117029862792575,343,548,1,0.997093023255814,0.38496071829405165,0.5554655870445345,323,1448,26,0.9255014326647565,0.18238283455674761,0.30471698113207546,106,1666,8,0.9298245614035088,0.05981941309255079,0.11240721102863202
7,graphmap,covid,9000,0.95,-k#7#-A#8.vcf,20,R103,132,0,0,2,12,37,81,319,572,31,0.9114285714285715,0.35802469135802467,0.5141015310233682,340,551,2,0.9941520467836257,0.38159371492704824,0.5515004055150041,324,1447,27,0.9230769230769231,0.18294748729531338,0.30537229029217716,104,1668,8,0.9285714285714286,0.05869074492099323,0.11040339702760085
8,graphmap,covid,9000,0.95,-k#5#-A#7#--freq-percentile#1.0.vcf,20,R103,132,0,0,2,12,38,80,319,572,30,0.9140401146131805,0.35802469135802467,0.5145161290322581,338,553,2,0.9941176470588236,0.3793490460157127,0.5491470349309504,324,1447,26,0.9257142857142857,0.18294748729531338,0.30551626591230546,92,1680,8,0.92,0.05191873589164785,0.09829059829059829
9,blasr,covid,9000,0.95,#.vcf,20,R103,132,0,0,2,10,36,76,316,575,23,0.9321533923303835,0.3546576879910213,0.5138211382113821,492,399,4,0.9919354838709677,0.5521885521885522,0.7094448449891854,318,1453,23,0.9325513196480938,0.1795595708639187,0.30113636363636365,94,1678,8,0.9215686274509803,0.05304740406320542,0.10032017075773747
10,blasr,covid,9000,0.95,--minMatch#7#--nCandidates#20.vcf,20,R103,132,0,0,2,10,33,77,316,575,23,0.9321533923303835,0.3546576879910213,0.5138211382113821,491,400,5,0.9899193548387096,0.5510662177328844,0.7080028839221342,318,1453,23,0.9325513196480938,0.1795595708639187,0.30113636363636365,94,1678,8,0.9215686274509803,0.05304740406320542,0.10032017075773747
11,blasr,covid,9000,0.95,--minMatch#10#--nCandidates#20.vcf,20,R103,132,0,0,2,10,36,76,316,575,23,0.9321533923303835,0.3546576879910213,0.5138211382113821,492,399,4,0.9919354838709677,0.5521885521885522,0.7094448449891854,318,1453,23,0.9325513196480938,0.1795595708639187,0.30113636363636365,94,1678,8,0.9215686274509803,0.05304740406320542,0.10032017075773747
12,winnowmap2,covid,9000,0.95,#.vcf,20,R103,132,0,0,2,10,38,76,365,526,89,0.8039647577092511,0.409652076318743,0.5427509293680297,508,383,73,0.8743545611015491,0.5701459034792368,0.6902173913043477,435,1336,24,0.9477124183006536,0.2456239412761152,0.3901345291479821,142,1630,20,0.8765432098765432,0.08013544018058691,0.1468459152016546
13,winnowmap2,covid,9000,0.95,-k#15#-w#1.vcf,20,R103,132,0,0,2,10,38,76,365,526,89,0.8039647577092511,0.409652076318743,0.5427509293680297,508,383,73,0.8743545611015491,0.5701459034792368,0.6902173913043477,435,1336,24,0.9477124183006536,0.2456239412761152,0.3901345291479821,142,1630,20,0.8765432098765432,0.08013544018058691,0.1468459152016546
