,tname,specie,lenght,er,param,cov,model,mapped,unmapped,wrongalign,r0,r5,r10,r20
0,minimap2,vih,5000,0.95,#.vcf,5,r103,8,0,0,2,6,0,0
1,minimap2,vih,5000,0.95,-k#12.vcf,5,r103,8,0,0,2,6,0,0
2,minimap2,vih,5000,0.95,-k#10.vcf,5,r103,8,0,0,2,6,0,0
3,minimap2,vih,5000,0.95,-k#8#-w#1.vcf,5,r103,8,0,0,2,6,0,0
4,minimap2,vih,5000,0.95,-w#10.vcf,5,r103,8,0,0,2,6,0,0
5,minimap2,vih,5000,0.95,-w#5.vcf,5,r103,8,0,0,2,6,0,0
6,minimap2,vih,5000,0.95,-w#1.vcf,5,r103,8,0,0,2,6,0,0
7,minimap2,vih,5000,0.95,-k#5#-w#10.vcf,5,r103,8,0,0,2,6,0,0
8,minimap2,vih,5000,0.80,#.vcf,5,r103,6,2,0,0,1,2,2
9,minimap2,vih,5000,0.80,-k#12.vcf,5,r103,7,1,0,1,1,2,2
10,minimap2,vih,5000,0.80,-k#10.vcf,5,r103,7,1,0,0,1,3,2
11,minimap2,vih,5000,0.80,-k#8#-w#1.vcf,5,r103,8,0,0,1,1,3,2
12,minimap2,vih,5000,0.80,-w#10.vcf,5,r103,6,2,0,0,1,2,2
13,minimap2,vih,5000,0.80,-w#5.vcf,5,r103,7,1,0,1,1,2,2
14,minimap2,vih,5000,0.80,-w#1.vcf,5,r103,8,0,0,1,1,3,2
15,minimap2,vih,5000,0.80,-k#5#-w#10.vcf,5,r103,8,0,0,1,1,3,2
16,minimap2,vih,4000,0.95,#.vcf,5,r103,11,0,0,3,5,2,1
17,minimap2,vih,4000,0.95,-k#12.vcf,5,r103,11,0,0,3,5,2,1
18,minimap2,vih,4000,0.95,-k#10.vcf,5,r103,11,0,0,3,5,2,1
19,minimap2,vih,4000,0.95,-k#8#-w#1.vcf,5,r103,11,0,0,3,5,2,1
20,minimap2,vih,4000,0.95,-w#10.vcf,5,r103,11,0,0,3,5,2,1
21,minimap2,vih,4000,0.95,-w#5.vcf,5,r103,11,0,0,3,5,2,1
22,minimap2,vih,4000,0.95,-w#1.vcf,5,r103,11,0,0,3,5,2,1
23,minimap2,vih,4000,0.95,-k#5#-w#10.vcf,5,r103,11,0,0,3,5,2,1
24,minimap2,vih,4000,0.80,#.vcf,5,r103,9,2,0,0,3,1,3
25,minimap2,vih,4000,0.80,-k#12.vcf,5,r103,9,2,0,0,3,1,3
26,minimap2,vih,4000,0.80,-k#10.vcf,5,r103,9,2,0,0,3,1,3
27,minimap2,vih,4000,0.80,-k#8#-w#1.vcf,5,r103,11,0,0,0,3,2,4
28,minimap2,vih,4000,0.80,-w#10.vcf,5,r103,9,2,0,0,3,1,3
29,minimap2,vih,4000,0.80,-w#5.vcf,5,r103,9,2,0,0,3,1,3
